2024-05-21 00:13:02,229 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5093, 0.0574, 0.5630, 0.2276])
2024-05-21 00:13:02,231 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,231 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,231 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,304 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1076e-01, 8.7325e-05, 6.7895e-01, 3.6256e-01])
2024-05-21 00:13:02,305 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,307 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,307 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,310 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5103, 0.0569, 0.5627, 0.2276])
2024-05-21 00:13:02,310 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,311 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,311 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,384 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([2.1074e-01, 9.2284e-05, 6.7893e-01, 3.6252e-01])
2024-05-21 00:13:02,384 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,385 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,386 - ObjectDetectionLogger - INFO - Percentage of points inside the ROI: 0.00%
2024-05-21 00:13:02,389 - ObjectDetectionLogger - INFO - Bounding box coordinates: tensor([0.5102, 0.0569, 0.5625, 0.2274])
2024-05-21 00:13:02,389 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
2024-05-21 00:13:02,390 - ObjectDetectionLogger - INFO - Grid coordinates of bounding box computed successfully
